Jurisdiction,Publication Date,Publication Year,Application Number,Title,Abstract,Applicants,Inventors,Owners,Document_type,CPC_classification,IPCR Classifications,legal_status
WO,10/8/2020,2020,EP 2020058863 W,METHOD FOR PLANTATION TREATMENT OF A PLANTATION FIELD WITH A VARIABLE APPLICATION RATE,"A method for plantation treatment of a plantation field, the method comprising: determining (S10) an application rate decision logic (10) based on offline field data (Doff) relating to expected conditions on the plantation field (300); taking (S20) an image (20) of a plantation of a plantation field (300); recognizing (S30) objects (30) on the taken image (20); determining (S40) an application rate based on the determined application rate decision logic (10) and the recognized objects (30); and determining (S50) a control signal (S) for controlling a treatment arrangement (50) of a treatment device (200) based on the determined application rate.",BASF AGRO TRADEMARKS GMBH,TEMPEL MATTHIAS,,Patent Application,A01M7/0089;;G06T7/70;;G06V10/70;;G06V20/188;;A01B79/005;;A01B79/02;;A01C21/002;;A01C21/007;;A01M7/0089;;G06T7/60;;G06T2207/10024;;G06T2207/10048;;G06T2207/20081;;G06T2207/30188,A01M7/00,PENDING,,,,
US,3/30/2023,2023,US 202217942075 A,Edge-Distributed Query Processing in Value Chain Networks,"A method for processing a query for data stored in a distributed database includes receiving, at an edge device, the query for data stored in the distributed database from a query device. The query is a request for data stored at the edge device and for data stored at other edge devices. The method includes executing, by the edge device, the query to find partial query results comprising the data stored at the edge device. The method includes generating, by the edge device, statistical information based on the partial query results. The method includes determining, by the edge device, a statistical confidence associated with the partial results based on the statistical information. The method includes generating, by the edge device, an approximate response to the query based on the statistical information. The method includes transmitting the approximate response to the query device.",STRONG FORCE VCN PORTFOLIO 2019 LLC,CELLA CHARLES HOWARD;;CARDNO ANDREW;;PARENTI JENNA;;LOCKE ANDREW S;;EL-TAHRY TEYMOUR S,STRONG FORCE VCN PORTFOLIO 2019 LLC (2022-11-29),Patent Application,G06Q10/087;;G06F16/182;;G06F16/2455;;G06Q10/087;;G05B19/4099;;G05B2219/49023;;G06F16/27;;G06F16/2462;;G06Q30/0202;;G06Q30/0206;;G05B19/41865;;G05B19/4188;;G06Q20/389;;G06V10/774;;H04N23/675;;G05D1/0246;;G05D1/0291,G06F16/2458;;G06F16/27,PENDING,,,,
WO,3/31/2016,2016,US 2015/0051768 W,TECHNIQUES FOR AUTOMATED PLANTING,"Embodiments of the present invention provide techniques, including systems and methods, for planting using planting pods. A planting system can be configured to deliver pods including a payload (e.g., seeds, cuttings, or other planting materials) into or onto the ground at a predetermined location. In some embodiments, the automated planting system can include a mapping system that receives various sensor inputs and generates a map of a planting area. A pod planting system may use the map of the planting area to deliver pods to the planting area. The pod planting system may be executed automatically using the maps generated by the mapping system and/or manually by a remote operator. Each pod can include a payload to be planted on or in the ground by the pod planting system. Pods may be customized depending on the types of plants being planted, the terrain, prior planting results, etc.",BIOCARBON ENGINEERING LTD;;FLETCHER LAUREN E,FLETCHER LAUREN E;;RITCHIE MATTHEW S;;GRAHAM SUSAN M;;BIAN SHUNNING,,Patent Application,A01C21/005;;A01G9/0293;;B64D1/08;;B64C39/024;;B64D1/16;;A01B79/005;;B64U2101/60;;B64U10/13;;B64U2201/10;;B64U2101/00;;Y02P60/21;;A01C21/005;;A01G9/0293;;B64D1/08;;B64C39/024;;B64D1/16;;B64U10/13;;B64U2101/00;;B64U2101/60;;B64U2201/10;;A01B79/005,A01B69/04;;A01B79/02,PENDING,,,,
US,4/13/2023,2023,US 202218061415 A,Raw-Material-Managed Manufacturing System,A raw material system includes a product manufacturing demand estimation system programmed to calculate an expected demand for a product. The system includes an environment detection system configured to identify an environmental condition or event. The system includes a raw material production system programmed to estimate a raw material availability at the future point in time based on the expected demand and the environmental condition/event. The system includes a raw material requirement system programmed to calculate a required raw material amount to manufacture the product based on the expected demand and the environmental condition/event. The system includes a raw material procurement system programmed to autonomously configure a futures contract for procurement of at least a portion of the required raw material amount in response to the required raw material amount calculation exceeding the raw material availability estimation.,STRONG FORCE VCN PORTFOLIO 2019 LLC,CELLA CHARLES H;;CARDNO ANDREW;;GOODMAN BENJAMIN D;;MALCHEV HRISTO,STRONG FORCE VCN PORTFOLIO 2019 LLC (2022-12-20),Patent Application,G06Q10/087;;G06F16/182;;G06F16/2455;;G06Q10/087;;G05B19/4099;;G05B2219/49023;;G06F16/27;;G06F16/2462;;G06Q30/0202;;G06Q30/0206;;G05B19/41865;;G05B19/4188;;G06Q20/389;;G06V10/774;;H04N23/675;;G05D1/0246;;G05D1/0291,G05B19/418;;G06Q20/38,PENDING,,,,
US,4/25/2019,2019,US 201515513126 A,TECHNIQUES FOR AUTOMATED PLANTING,"Embodiments of the present invention provide techniques, including systems and methods, for planting using planting pods. A planting system can be configured to deliver pods including a payload (e.g., seeds, cuttings, or other planting materials) into or onto the ground at a predetermined location. In some embodiments, the automated planting system can include a mapping system that receives various sensor inputs and generates a map of a planting area. A pod planting system may use the map of the planting area to deliver pods to the planting area. The pod planting system may be executed automatically using the maps generated by the mapping system and/or manually by a remote operator. Each pod can include a payload to be planted on or in the ground by the pod planting system. Pods may be customized depending on the types of plants being planted, the terrain, prior planting results, etc.",FLETCHER LAUREN E;;RITCHIE MATTHEW S;;GRAHAM SUSAN M;;BIOCARBON ENG LTD,FLETCHER LAUREN E;;RITCHIE MATTHEW S;;GRAHAM SUSAN M;;BIAN SHUNNING,DENDRA SYSTEMS LTD (2017-03-22),Patent Application,A01C21/005;;A01G9/0293;;B64D1/08;;B64C39/024;;B64D1/16;;A01B79/005;;B64U2101/60;;B64U10/13;;B64U2201/10;;B64U2101/00;;Y02P60/21;;A01C21/005;;A01G9/0293;;B64D1/08;;B64C39/024;;B64D1/16;;B64U10/13;;B64U2101/00;;B64U2101/60;;B64U2201/10;;A01B79/005,A01B79/00;;A01C21/00;;A01G9/029;;B64C39/02;;B64D1/08;;B64D1/16,ACTIVE,,,,
US,2/22/2022,2022,US 201916657957 A,Machine learning techniques for identifying clouds and cloud shadows in satellite imagery,"Systems and methods for identifying clouds and cloud shadows in satellite imagery are described herein. In an embodiment, a system receives a plurality of images of agronomic fields produced using one or more frequency bands. The system also receives corresponding data identifying cloud and cloud shadow locations in the images. The system trains a machine learning system to identify at least cloud locations using the images as inputs and at least data identifying pixels as cloud pixels or non-cloud pixels as outputs. When the system receives one or more particular images of a particular agronomic field produced using the one or more frequency bands, the system uses the one or more particular images as inputs into the machine learning system to identify a plurality of pixels in the one or more particular images as particular cloud locations.",CLIMATE CORP,SHE YING;;KHADKA PRAMITHUS;;GUAN WEI;;YANG XIAOYUAN;;DEVECIGIL DEMIR,CLIMATE LLC (2019-11-01),Granted Patent,G06N3/08;;G06T5/005;;G06T7/11;;G06T2207/10032;;G06T2207/20084;;G06T2207/30188;;G06Q50/02;;G06Q10/067;;G06V20/188;;G06V10/764;;G06N3/045;;G06F17/16;;G06N20/00;;G06V20/188;;G06N3/045;;G06T5/005;;G06V10/764,G06K9/00;;G06F17/16;;G06N3/04;;G06N20/00,ACTIVE,,,,
US,9/29/2022,2022,US 202217751478 A,TECHNIQUES FOR AUTOMATED PLANTING,"Embodiments of the present invention provide techniques, including systems and methods, for planting using planting pods. A planting system can be configured to deliver pods including a payload (e.g., seeds, cuttings, or other planting materials) into or onto the ground at a predetermined location. In some embodiments, the automated planting system can include a mapping system that receives various sensor inputs and generates a map of a planting area. A pod planting system may use the map of the planting area to deliver pods to the planting area. The pod planting system may be executed automatically using the maps generated by the mapping system and/or manually by a remote operator. Each pod can include a payload to be planted on or in the ground by the pod planting system. Pods may be customized depending on the types of plants being planted, the terrain, prior planting results, etc.",DENDRA SYSTEMS LTD,FLETCHER LAUREN E;;RITCHIE MATTHEW S;;GRAHAM SUSAN M;;BIAN SHUNING,,Patent Application,A01C21/005;;A01G9/0293;;B64D1/08;;B64C39/024;;B64D1/16;;A01B79/005;;B64U2101/60;;B64U10/13;;B64U2201/10;;B64U2101/00;;Y02P60/21;;A01C21/005;;A01G9/0293;;B64D1/08;;B64C39/024;;B64D1/16;;B64U10/13;;B64U2101/00;;B64U2101/60;;B64U2201/10;;A01B79/005,A01B79/00;;A01C21/00;;A01G9/029;;B64C39/02;;B64D1/08;;B64D1/16,PENDING,,,,
US,4/6/2023,2023,US 202218061408 A,Maintenance Prediction and Health Monitoring for Robotic Fleet Management,"A robotic fleet management platform includes a resources data store that maintains a fleet resource inventory indicating fleet resources that can be assigned to a robotic fleet and, for each fleet resource, maintenance history, predicted maintenance need, and a preventive maintenance schedule. The platform includes a maintenance management library of fleet resource maintenance requirements for determining maintenance workflows, service actions, and service parts for at least one fleet resource in the fleet resource inventory. The platform calculates predicted maintenance need of a fleet resource based on anticipated component wear and anticipated component failure of the at least one fleet resource according to machine learning-based analysis of the maintenance status data. The platform monitors a health state of the fleet resource based on sensor data. The platform initiates a service action of the at least one item of maintenance for the fleet resource based on the fleet resource maintenance requirements.",STRONG FORCE VCN PORTFOLIO 2019 LLC,CELLA CHARLES H;;KELL BRAD;;EL-TAHRY TEYMOUR S;;CARDNO ANDREW;;FORTIN JR LEON,STRONG FORCE VCN PORTFOLIO 2019 LLC (2022-12-16),Patent Application,G06Q10/20;;Y02P90/80;;B29C64/379;;B29C64/386;;B29C64/393;;B33Y40/00;;B33Y50/00;;B33Y50/02;;B25J9/1682;;B25J9/163;;B25J9/161;;B33Y50/02;;B29C64/386;;B33Y10/00;;B29C64/379;;B29C64/393;;B25J9/1674;;G05B23/0281;;G05B23/0283;;G06Q10/20;;B25J9/1679;;G05D1/0291;;G05D2201/0216;;G06F9/5055;;B33Y30/00;;G05D1/0027,G05B23/02;;B25J9/16;;B29C64/393;;B33Y50/02;;G06Q10/00,PENDING,,,,
US,3/16/2023,2023,US 202217942076 A,Control-Tower-Enabled Digital Product Network System for Value Chain Networks,"A digital product network system includes a set of digital products each having a product processor, a product memory, and a product network interface. The digital product network system includes a product network control tower having a control tower processor, a control tower memory, and a control tower network. The product processor and the control tower processor collectively include non-transitory instructions that program the digital product network system to generate product level data at the product processor, transmit the product level data from the product network interface, receive the product level data at the control tower network interface, encode the product level data as a product level data structure configured to convey parameters indicated by the product level data across the set of digital products, and write the product level data structure to at least one of the product memory and the control memory.",STRONG FORCE VCN PORTFOLIO 2019 LLC,CELLA CHARLES HOWARD;;CARDNO ANDREW;;PARENTI JENNA;;LOCKE ANDREW S,STRONG FORCE VCN PORTFOLIO 2019 LLC (2022-11-29),Patent Application,G06Q10/087;;G06F16/182;;G06F16/2455;;G06Q10/087;;G05B19/4099;;G05B2219/49023;;G06F16/27;;G06F16/2462;;G06Q30/0202;;G06Q30/0206;;G05B19/41865;;G05B19/4188;;G06Q20/389;;G06V10/774;;H04N23/675;;G05D1/0246;;G05D1/0291,G06Q10/08,PENDING,,,,
US,3/30/2023,2023,US 202217942048 A,Robot Fleet Management with Workflow Simulation for Value Chain Networks,"A robot fleet management platform includes one or more processors configured to execute instructions. The instructions include receiving a job request comprising information descriptive of job deliverable and request-specific constraints for delivering the job deliverable. The instructions include applying content and structural filters to content received in association with a job request to identify portions thereof suitable for robot automation. The instructions include establishing a set of robot tasks, each defining at least a type of robot and a task objective, based on the portions of the job request that are suitable for robot automation and meet a first fleet objective. The instructions include applying fleet configuration services to the job content and the set of robot tasks to produce a fleet resource configuration data structure for the job request that associates at least one robot operating unit with each task in the set of tasks and robot adaptation instructions.",STRONG FORCE VCN PORTFOLIO 2019 LLC,CELLA CHARLES HOWARD;;KELL BRAD;;EL-TAHRY TEYMOUR S;;CARDNO ANDREW;;FORTIN JR LEON,STRONG FORCE VCN PORTFOLIO 2019 LLC (2022-12-02),Patent Application,Y02P80/10;;Y02P80/40;;G05D1/0297;;G05D2201/0216;;G05D1/0221;;G05B19/4099;;G05B17/02;;G05B2219/49023;;G05B2219/36252;;G02B3/14;;G06N3/006;;G06N3/088;;G06N3/084;;G06N20/10;;G06N5/025;;B33Y50/02;;G06N3/045;;G05B2219/49023;;G05B19/4099;;G06N20/20;;G02B3/14;;G02B26/00;;G05B17/02;;G05D1/0297;;B25J9/161;;B25J9/163;;B25J9/1653;;B25J9/1697;;B33Y10/00;;B33Y50/02;;B29C64/393;;G06N20/00;;H04L9/50;;H04L9/3239;;G06Q10/06311;;G06F30/27;;G06F2113/10;;G05B13/0265;;G05B13/042;;G06Q30/0201;;G05D1/0027;;G06Q10/0631;;G06Q10/0831;;G06Q10/0833;;G06Q10/087;;B25J9/1661;;B25J9/1671;;B25J9/1682;;G06Q10/06;;G06Q10/0633;;G06Q10/06313;;G06Q20/14,B25J9/16,PENDING,,,,
US,1/5/2021,2021,US 202016851662 A,Management of massively distributed internet of things (IoT) gateways based on software-defined networking (SDN) via fly-by master drones,"Massively distributed and low-cost Internet of things (IoT) gateways can be controlled by software-defined networking (SDN) protocols transferred via an autonomous mobile device (e.g., fly-by drone). The IoT gateways can comprise sensors that capture information that is transferred to the communication network via the autonomous mobile device. For example, the autonomous mobile device can wake the IoT gateways adaptively and perform data collection and/or configuration tasks. Further, the autonomous mobile device can deliver the collected data to network devices of the communication network and return for the next batch of IoT gateway data collections.",AT & T IP I LP,TOFIGHBAKHSH MOSTAFA;;SULLIVAN BRYAN LEE,AT&T INTELLECTUAL PROPERTY I L.P (2019-01-30),Granted Patent,H04B7/18506;;H04W24/10;;H04W24/02;;H04W4/70;;H04L12/189;;H04B7/18504;;H04W4/80;;H04W4/02;;H04W4/38;;H04L67/12;;H04L41/0853;;H04L41/046;;H04L41/0816;;H04L43/08;;H04L41/16;;H04L41/20;;H04L41/0895;;H04L41/40;;H04B7/18504;;H04L67/12;;H04L67/34;;H04B7/18506;;H04L12/189;;H04W84/005;;H04W24/02;;H04L41/20;;G08G5/0069;;H04W88/16;;H04W4/029,H04B7/185;;G08G5/00;;H04L12/18;;H04L12/24;;H04L29/08;;H04W4/029;;H04W24/02;;H04W84/00;;H04W88/16,ACTIVE,,,,
US,9/20/2022,2022,US 202016743945 A,Generating digital models of nutrients available to a crop over the course of the crop's development based on weather and soil data,"A system for generating digital models of nitrogen availability based on field data, weather forecast data, and models of water flow, temperature, and crop uptake of nitrogen and water is provided. In an embodiment, field data and forecast data are received by an agricultural intelligence computing system. Based on the received data, the agricultural intelligence computing system models changes in temperature of different soil layers, moisture content of different soil layers, and loss of nitrogen and water to the soil through crop uptake, leaching, denitrification, volatilization, and evapotranspiration. The agricultural intelligence computing system creates a digital model of nitrogen availability based on the temperature, moisture content, and loss models. The agricultural intelligence computing system may then send nitrogen availability data to a field manager computing device and/or use the nitrogen availability data to create notifications, recommendations, agronomic models, and/or control parameters for an application controller.",CLIMATE LLC,GATES JOHN;;DE GRYZE STEVEN,CLIMATE LLC (2016-02-01),Granted Patent,A01C21/007;;A01B79/005;;A01C21/007;;G06F30/20;;Y02A40/10;;A01G25/167;;G06N5/04,G06F30/20;;A01C21/00;;A01G25/16;;G06N5/04,ACTIVE,,,,
US,1/16/2020,2020,US 201916505927 A,AUTOMATED SYSTEMS AND METHODS FOR MONITORING AND MAPPING INSECTS IN ORCHARDS,"Disclosed is an automated tap and detection system (ATDS) for monitoring insects on vegetation. The ATDS can automatically agitate vegetation and collect deposits released from the vegetation in response to the agitation. Images of the deposits can be collected and analyzed using machine learning models to determine a type of deposit (e.g., insect) collected and a number of deposits collected.",UNIV FLORIDA,AMPATZIDIS IOANNIS;;STANSLY PHILIP ANZOLUT;;PARTEL VICTOR HENRIQUE MEIRELLES,UNIVERSITY OF FLORIDA RESEARCH FOUNDATION INCORPORATED (2018-07-11),Patent Application,G06N3/08;;H04N23/80;;H04N23/90;;G06N3/045;;G06N20/00;;G06V40/10;;G06F18/214;;H04N23/90;;G06N3/08,G06K9/00;;G06K9/62;;G06N20/00;;H04N5/247,ACTIVE,,,,
US,7/7/2020,2020,US 201916456883 A,Estimating soil properties within a field using hyperspectral remote sensing,"A method for building and using soil models that determine soil properties from soil spectrum data is provided. In an embodiment, building soil model may be accomplished using soil spectrum data received via hyperspectral sensors from a land unit. A processor updates the soil spectrum data by removing interference signals from the soil spectrum data. Multiple ground sampling locations within the land unit are then determined based on the updated soil spectrum data. Soil property data are obtained from ground sampling at the ground sampling locations. Soil models that correlate the updated soil spectrum data with the soil property data are created based on the updated soil spectrum data and the soil property data. The soil models are sent to a storage for future use.",CLIMATE CORP,XIANG HAITAO;;YANG XIANYUAN;;KOSHNICK NICK;;CISEK NICK,CLIMATE LLC (2021-12-03),Granted Patent,G01N2021/1793;;G01N2021/3155;;G01N2201/0616;;G01N2201/129;;G06Q10/04;;A01B79/005;;G01N33/0098;;G01N33/24;;E02D1/04;;G01N21/17;;G01N2033/245;;G16C20/20;;G16C20/30;;G16C99/00;;Y02A90/10;;G01N21/359;;G01N33/0098;;G01N2021/1793;;G01N2021/3155;;G01N2201/0616;;G01N2201/129;;G06Q10/04;;A01B79/005;;G06F2111/06;;G06F30/27;;A01B76/00;;G01N21/31;;G01W1/10;;G01N33/24;;G01V99/005,G01V99/00;;A01B79/00;;G01N21/17;;G01N21/31;;G01N21/359;;G01N33/00;;G01N33/24;;G01W1/10;;G06Q10/04,ACTIVE,,,,
US,9/8/2020,2020,US 201715793840 A,"Work layer imaging and analysis for implement monitoring, control and operator feedback",A soil imaging system having a work layer sensor disposed on an agricultural implement to generate an electromagnetic field through a soil area of interest as the agricultural implement traverses a field. A monitor in communication with the work layer sensor is adapted to generate a work layer image of the soil layer of interest based on the generated electromagnetic field. The work layer sensor may also generate a reference image by generating an electromagnetic field through undisturbed soil. The monitor may compare at least one characteristic of the reference image with at least one characteristic of the work layer image to generate a characterized image of the work layer of interest. The monitor may display operator feedback and may affect operational control of the agricultural implement based on the characterized image.,CLIMATE CORP,KOCH DALE;;TRAVIS DEXTER;;SWANSON TODD;;SLONEKER DILLON,CLIMATE LLC (2017-02-01),Granted Patent,G01S13/885;;A01C7/105;;A01C7/203;;A01C7/205;;A01C5/066;;A01C5/068;;A01C7/006;;A01B79/005;;G01V3/12;;G01S13/885;;A01C7/203;;A01C7/105;;A01C7/205;;A01C5/068;;A01C7/006;;A01C5/066;;A01B79/005;;G01S13/02;;G01V3/12,A01B79/00;;A01B47/00;;A01B69/00;;A01C5/06;;A01C7/00;;A01C7/08;;A01C7/10;;A01C7/20;;G01S13/02;;G01S13/88;;G01V3/12;;G01V8/20;;G01V11/00,ACTIVE,,,,
US,6/16/2015,2015,US 201113280298 A,Wide-area agricultural monitoring and prediction,"A system for agricultural monitoring and prediction comprises a first reporting agent a second reporting agent a database, and a processor. The first reporting agent is configured for reporting aerial data representing relative measurements of an agricultural metric in a geographic area, the relative measurements having an unknown bias. The second reporting is configured for reporting ground-based data representing absolute measurements of the agricultural metric for a portion of the geographic area. The database is configured for storing the absolute measurement data and the relative measurement data along with other farming data for a wide geographic area. The processor is configured for accessing the database and using the ground-based data for the portion of the geographic area to calibrate the aerial data, thereby synthesizing absolute measurements of the agricultural metric for the geographic area from the aerial data.",LINDORES ROBERT J;;MAYFIELD TED;;ULMAN MORRISON;;TRIMBLE NAVIGATION LTD,LINDORES ROBERT J;;MAYFIELD TED;;ULMAN MORRISON,TRIMBLE NAVIGATION LIMITED (2011-09-30),Granted Patent,A01B79/005;;G06Q50/02;;G06Q50/02;;G06Q10/06;;G06Q10/06;;G06Q10/063;;G06Q10/063,G01D18/00;;G06Q10/06;;G06Q50/02,ACTIVE,,,,
US,10/12/2021,2021,US 201816203531 A,Robotic agricultural system and method,"A robotic orchard spraying system having autonomous delivery vehicles (ADV), each autonomously delivering an amount of a premixed solution over a non-overlapping path verified by a forward-looking sensor, video, or both. Also, a mobile control center, configured to wireles sly inform the autonomous delivery vehicle of the path within the areas and to confirm that the autonomous delivery vehicle is following the path within the area. Additionally, a mapper vehicle generates the path within the area, the mapper vehicle being configured to communicate information about the path and the area to the command center. The mapper vehicle senses the path with a forward-looking LiDAR sensor, and senses the area with a GPS sensor. Moreover, a nurse truck has a reservoir of premixed solution for replenishing a tank of the ADV. ADVs and the control center communicate over a radio network, which may be a mesh network, a cellular network, or both.",CRINKLAW FARM SERVICES INC,CRINKLAW DAVID CURTIS;;SCHAPANSKY CHASE;;VACCARI RICHARD;;BISCHEL JEREMY;;JOHNSON RYAN,GUSS AUTOMATION LLC (2022-02-17);;CRINKLAW FARM SERVICES INC (2016-05-10),Granted Patent,A01B69/008;;A01B79/005;;A01M7/0089;;A01M7/0014;;G05D1/0038;;G05D1/0022;;G05D2201/0201;;A01B69/008;;A01M7/0089;;A01B79/005;;A01M7/0014;;A01B79/00;;B05B7/32;;B05B13/005;;G05D1/024;;G05D1/0246;;G05D1/0274;;G05D1/0278;;G05D1/0297;;G05D2201/0201,A01M7/00;;A01B69/04;;A01B79/00;;B05B7/32;;B05B13/00;;G05D1/02,ACTIVE,,,,
US,6/23/2022,2022,US 202217683097 A,Job Parsing in Robot Fleet Resource Configuration,"A robot fleet management platform includes a job parsing system that applies filters to identify portions of a job request suitable for robot automation. Based on the identified portions and a first fleet objective of the job request, a task system establishes tasks that define a robot type and task objective. A proxy service associates a robot of a robot fleet to each task and adaptation instructions to define how to adapt the robot fleet to perform the tasks. A workflow system generates a workflow defining a performance order of the tasks. A simulation system applies the workflow in an environment that includes digital models of the robot fleet and the tasks. The simulation is used to iteratively redefine the tasks and workflow until a second fleet objective is satisfied. A generation system generates a job execution plan in response to the simulation satisfying the first and second fleet objectives.",STRONG FORCE VCN PORTFOLIO 2019 LLC,CELLA CHARLES H;;KELL BRAD;;EL-TAHRY TEYMOUR S;;CARDNO ANDREW;;FORTIN LEON,,Patent Application,Y02P80/10;;Y02P80/40;;G05D1/0297;;G05D2201/0216;;G05D1/0221;;G05B19/4099;;G05B17/02;;G05B2219/49023;;G05B2219/36252;;G02B3/14;;G06N3/006;;G06N3/088;;G06N3/084;;G06N20/10;;G06N5/025;;B33Y50/02;;G06N3/045;;G05B2219/49023;;G05B19/4099;;G06N20/20;;G02B3/14;;G02B26/00;;G05B17/02;;G05D1/0297;;B25J9/161;;B25J9/163;;B25J9/1653;;B25J9/1697;;B33Y10/00;;B33Y50/02;;B29C64/393;;G06N20/00;;H04L9/50;;H04L9/3239;;G06Q10/06311;;G06F30/27;;G06F2113/10;;G05B13/0265;;G05B13/042;;G06Q30/0201;;G05D1/0027;;G06Q10/0631;;G06Q10/0831;;G06Q10/0833;;G06Q10/087;;B25J9/1661;;B25J9/1671;;B25J9/1682;;G06Q10/06;;G06Q10/0633;;G06Q10/06313;;G06Q20/14,G05D1/02;;G05B17/02,PENDING,,,,
US,10/12/2021,2021,US 202016813487 A,Unmanned aerial vehicle systems,"Various systems, methods, for unmanned aerial vehicles (UAV) are disclosed. In one aspect, UAVs operation in an area may be managed and organized by UAV corridors, which can be defined ways for the operation and movement of UAVs. UAV corridors may be supported by infrastructures and/or systems supported UAVs operations. Support infrastructures may include support systems such as resupply stations and landing pads. Support systems may include communication UAVs and/or stations for providing communications and/or other services, such as aerial traffic services, to UAV with limited communication capabilities. Further support systems may include flight management services for guiding UAVs with limited navigation capabilities as well as tracking and/or supporting unknown or malfunctioning UAVs.",LEBLANC WARREN F,DUPRAY DENNIS J;;LEBLANC FREDERICK W,,Granted Patent,G08G5/0021;;G08G5/0043;;H04B7/18504;;H04B7/18506;;G08G5/0069;;B64C39/024;;G05D1/104;;G08G5/0008;;G08G5/0013;;G01C21/005;;B64U2101/20;;B64U2201/102;;B64U2101/60;;B64U80/00;;G08G5/0069;;B64C39/024;;G05D1/104;;G08G5/0008;;G08G5/0013;;H04W88/04;;G08G5/0043;;G08G5/0021;;H04B7/18504;;H04B7/18506;;B64U80/00;;B64U2101/20;;B64U2101/60;;B64U2201/102,G08G5/00;;B64C39/02;;G05D1/10;;H04B7/185;;H04W88/04,ACTIVE,,,,
US,8/20/2020,2020,US 202016813487 A,UNMANNED AERIAL VEHICLE SYSTEMS,"Various systems, methods, for unmanned aerial vehicles (UAV) are disclosed. In one aspect, UAVs operation in an area may be managed and organized by UAV corridors, which can be defined ways for the operation and movement of UAVs. UAV corridors may be supported by infrastructures and/or systems supported UAVs operations. Support infrastructures may include support systems such as resupply stations and landing pads. Support systems may include communication UAVs and/or stations for providing communications and/or other services, such as aerial traffic services, to UAV with limited communication capabilities. Further support systems may include flight management services for guiding UAVs with limited navigation capabilities as well as tracking and/or supporting unknown or malfunctioning UAVs.",LEBLANC WARREN F,DUPRAY DENNIS J;;LEBLANC FREDERICK W,,Patent Application,G08G5/0021;;G08G5/0043;;H04B7/18504;;H04B7/18506;;G08G5/0069;;B64C39/024;;G05D1/104;;G08G5/0008;;G08G5/0013;;G01C21/005;;B64U2101/20;;B64U2201/102;;B64U2101/60;;B64U80/00;;G08G5/0069;;B64C39/024;;G05D1/104;;G08G5/0008;;G08G5/0013;;H04W88/04;;G08G5/0043;;G08G5/0021;;H04B7/18504;;H04B7/18506;;B64U80/00;;B64U2101/20;;B64U2101/60;;B64U2201/102,G08G5/00;;B64C39/02;;G05D1/10;;H04B7/185,ACTIVE,,,,
US,6/23/2016,2016,US 201615048753 A,SYSTEMS TO PRESCRIBE AND DELIVER FERTILIZER OVER AGRICULTURAL FIELDS AND RELATED METHODS,Some embodiments include a method. The method can include mapping a spatial pattern of yield for a crop of an agricultural field and prescribing spatially-variable application rates of one or more nutrients for the agricultural field. Other embodiments of related methods and systems are also disclosed.,HYDROBIO INC,GROENEVELD DAVID P,THE CLIMATE CORPORATION (2017-07-12);;HYDROBIO INC (2017-04-14),Patent Application,A01B79/005;;A01B79/005;;A01C21/00;;A01C21/007;;A01C21/007;;G06Q50/02;;G06Q50/02;;G06Q10/06313;;G06Q10/06313;;G06Q10/06315;;G06Q10/06315,G06Q50/02;;A01G1/00;;G06Q10/06,ACTIVE,,,,
WO,11/4/2021,2021,US 2020/0039685 W,CROP MANAGEMENT METHOD AND APPARATUS WITH AUTONOMOUS VEHICLES,"In some embodiments, a method for managing growing crops in a crop growing farm includes operating one or more unmanned aerial vehicles (UAV) to fly over a plurality of sections of a crop growing farm. The UAVs are fitted with a plurality of cameras equipped to generate images in a plurality of spectrums. The plurality of sections of the crop growing farm grow crops of one or more types or varietals. The method further includes taking a plurality of aerial images of the sections of the vineyard in the plurality of spectrums, using the plurality of cameras, while the UAVs are flying over the plurality of sections of the crop growing farm, and executing an analyzer on a computing system to machine analyze the plurality of aerial images for anomalies associated with growing the crops of the one or more types or varietals.",POLLEN SYSTEMS CORP,MCCALL KEITH;;NELSON TRINA,,Patent Application,G06Q50/02;;G06T2207/10032;;G06T2207/30188;;G06T7/0014;;G06T2207/20084;;G06T2207/20081;;B64U2101/30,G06T7/00;;B64C39/02;;B64D47/08;;G06Q50/02,PENDING,,,,
US,8/31/2017,2017,US 201615055185 A,SYSTEM AND METHOD FOR APPLICATION OF MATERIALS THROUGH COORDINATION WITH AUTOMATED DATA COLLECTION VEHICLES,"An agricultural material application management system includes an automated agricultural data collection vehicle including a location sensor. The automated agricultural data collection vehicle includes a receiver that receives sensor data including crop information, a memory that stores the plurality of locations and the sensor data, and a processor that generates a mapping correlating the crop information with the plurality of locations in the agricultural area, and generates an agricultural material application recommendation for each of the plurality of locations based on the mapping. The agricultural material application management system includes an agricultural vehicle including an interface unit that interfaces with the automated agricultural data collection vehicle and receives the agricultural material application recommendations from the agricultural data collection vehicle. An agricultural material applicator applies an agricultural material to at least some of the plurality of locations, and a display provides the recommendations to a driver of the agricultural vehicle.",IBM,BARBOSA LUCIANO DE ANDRADE;;KORMAKSSON MATTHIAS;;DOS SANTOS CICERO NOGUEIRA;;DOS SANTOS MARCELO NERY;;ZADROZNY BIANCA,INTERNATIONAL BUSINESS MACHINES CORPORATION (2016-02-04),Patent Application,A01B79/005;;A01C21/007;;B64C39/024;;B64U2101/00;;A01B79/005;;A01C21/007;;B64C39/024;;B64U2101/00,A01B79/00;;A01C21/00;;B64C39/02,ACTIVE,,,,
